Sponsor_raw,Sponsor_clean,Sponsor_type
"University of California, San Diego","University of California, San Diego",Academic
Catholic University of the Sacred Heart,Catholic University of the Sacred Heart,Academic
AbbVie,AbbVie,Industry
European Organisation for Research and Treatment of Cancer - EORTC,European Organisation for Research and Treatment of Cancer,Cooperative group / network
Gynecologic Oncology Group,Gynecologic Oncology Group,Cooperative group / network
Foundation for Orthopaedic Research and Education,Foundation for Orthopaedic Research and Education,Research institute / foundation
Fred Hutchinson Cancer Center,Fred Hutchinson Cancer Center,Hospital / medical center
Alliance for Clinical Trials in Oncology,Alliance for Clinical Trials in Oncology,Cooperative group / network
Children's Oncology Group,Children's Oncology Group,Cooperative group / network
Vanderbilt University,Vanderbilt University,Academic
Stony Brook University,Stony Brook University,Academic
M.D. Anderson Cancer Center,MD Anderson Cancer Center,Hospital / medical center
Novartis Pharmaceuticals,Novartis Pharmaceuticals,Industry
National Hepatology & Tropical Medicine Research Institute,National Hepatology & Tropical Medicine Research Institute,Research institute / foundation
"University Hospital, Rouen","University Hospital, Rouen",Hospital / medical center
Shenzhen People's Hospital,Shenzhen People's Hospital,Hospital / medical center
Radiation Therapy Oncology Group,Radiation Therapy Oncology Group,Cooperative group / network
Novartis Pharmaceuticals,Novartis Pharmaceuticals,Industry
Oncotherapeutics,Oncotherapeutics,Industry
Kaohsiung Medical University Chung-Ho Memorial Hospital,Kaohsiung Medical University Chung-Ho Memorial Hospital,Hospital / medical center
AstraZeneca,AstraZeneca,Industry
National Cancer Institute (NCI),National Cancer Institute,Government / public agency
"McNeil Consumer & Specialty Pharmaceuticals, a Division of McNeil-PPC, Inc.",McNeil Consumer & Specialty Pharmaceuticals,Industry
Northwestern University,Northwestern University,Academic
Shanghai Miracogen Inc.,Shanghai Miracogen Inc.,Industry
SymBio Pharmaceuticals,SymBio Pharmaceuticals,Industry
BeyondSpring Pharmaceuticals Inc.,BeyondSpring Pharmaceuticals Inc.,Industry
Rennes University Hospital,Rennes University Hospital,Hospital / medical center
AB Science,AB Science,Industry
Universitair Ziekenhuis Brussel,Universitair Ziekenhuis Brussel,Hospital / medical center
Novartis Pharmaceuticals,Novartis Pharmaceuticals,Industry
Amgen,Amgen,Industry
University of Cologne,University of Cologne,Academic
"Amsterdam UMC, location VUmc",Amsterdam UMC,Hospital / medical center
Amgen,Amgen,Industry
Spanish Breast Cancer Research Group,Spanish Breast Cancer Research Group,Cooperative group / network
Moscow Clinical Scientific Center,Moscow Clinical Scientific Center,Research institute / foundation
Shanghai Jiao Tong University School of Medicine,Shanghai Jiao Tong University School of Medicine,Academic
Sun Yat-sen University,Sun Yat-sen University,Academic
Mersana Therapeutics,Mersana Therapeutics,Industry
Ontario Clinical Oncology Group (OCOG),Ontario Clinical Oncology Group,Cooperative group / network
CStone Pharmaceuticals,CStone Pharmaceuticals,Industry
"Foresee Pharmaceuticals Co., Ltd.",Foresee Pharmaceuticals,Industry
Novartis,Novartis,Industry
M.D. Anderson Cancer Center,MD Anderson Cancer Center,Hospital / medical center
Radiation Therapy Oncology Group,Radiation Therapy Oncology Group,Cooperative group / network
Swiss Cancer Institute,Swiss Cancer Institute,Research institute / foundation
EVIVE Biotechnology,EVIVE Biotechnology,Industry
Tata Memorial Hospital,Tata Memorial Hospital,Hospital / medical center
Ferring Pharmaceuticals,Ferring Pharmaceuticals,Industry
Sun Yat-sen University,Sun Yat-sen University,Academic
Kaohsiung Medical University Chung-Ho Memorial Hospital,Kaohsiung Medical University Chung-Ho Memorial Hospital,Hospital / medical center
Medical University of Warsaw,Medical University of Warsaw,Academic
Biosearch S.A.,Biosearch S.A.,Industry
Hoffmann-La Roche,Hoffmann-La Roche,Industry
ETOP IBCSG Partners Foundation,ETOP IBCSG Partners Foundation,Cooperative group / network
SWOG Cancer Research Network,SWOG Cancer Research Network,Cooperative group / network
University of Bristol,University of Bristol,Academic
Hoffmann-La Roche,Hoffmann-La Roche,Industry
NRG Oncology,NRG Oncology,Cooperative group / network
Hoffmann-La Roche,Hoffmann-La Roche,Industry
AGO Study Group,AGO Study Group,Cooperative group / network
Ohio State University Comprehensive Cancer Center,Ohio State University Comprehensive Cancer Center,Academic
Fox Chase Cancer Center,Fox Chase Cancer Center,Hospital / medical center
"University of California, San Francisco",University of California San Francisco,Academic
Huazhong University of Science and Technology,Huazhong University of Science and Technology,Academic
University Hospital Schleswig-Holstein,University Hospital Schleswig-Holstein,Hospital / medical center
ETOP IBCSG Partners Foundation,ETOP IBCSG Partners Foundation,Cooperative group / network
Children's Cancer and Leukaemia Group,Children's Cancer and Leukaemia Group,Cooperative group / network
"Cubist Pharmaceuticals LLC, a subsidiary of Merck & Co., Inc. (Rahway, New Jersey USA)",Cubist Pharmaceuticals,Industry
Massachusetts General Hospital,Massachusetts General Hospital,Hospital / medical center
Alliance for Clinical Trials in Oncology,Alliance for Clinical Trials in Oncology,Cooperative group / network
Konya Meram State Hospital,Konya Meram State Hospital,Hospital / medical center
"GT Medical Technologies, Inc.",GT Medical Technologies,Industry
AHS Cancer Control Alberta,AHS Cancer Control Alberta,Government / public agency
Grünenthal GmbH,Grünenthal GmbH,Industry
Kiadis Pharma,Kiadis Pharma,Industry
Yonsei University,Yonsei University,Academic
Gynecologic Oncology Group,Gynecologic Oncology Group,Cooperative group / network
University of Cagliari,University of Cagliari,Academic
University of Cincinnati,University of Cincinnati,Academic
AstraZeneca,AstraZeneca,Industry
"Janssen Research & Development, LLC",Janssen Research & Development,Industry
"Center for Vascular Pathology, Moscow",Center for Vascular Pathology Moscow,Research institute / foundation
Huazhong University of Science and Technology,Huazhong University of Science and Technology,Academic
Kristina Svennerholm,Kristina Svennerholm,Individual
AbbVie,AbbVie,Industry
"Cancer Prevention and Research Institute, Italy",Cancer Prevention and Research Institute Italy,Research institute / foundation
Eli Lilly and Company,Eli Lilly and Company,Industry
Swiss Cancer Institute,Swiss Cancer Institute,Research institute / foundation
Shenzhen Second People's Hospital,Shenzhen Second People's Hospital,Hospital / medical center
Novartis Pharmaceuticals,Novartis Pharmaceuticals,Industry
"On Target Laboratories, LLC",On Target Laboratories,Industry
Eli Lilly and Company,Eli Lilly and Company,Industry
"Jiangsu HengRui Medicine Co., Ltd.",Jiangsu HengRui Medicine,Industry
Göteborg University,Göteborg University,Academic
Isfahan University of Medical Sciences,Isfahan University of Medical Sciences,Academic
GlaxoSmithKline,GlaxoSmithKline,Industry
Bayer,Bayer,Industry
Biocad,Biocad,Industry
Children's Cancer and Leukaemia Group,Children's Cancer and Leukaemia Group,Cooperative group / network
"Taiho Pharmaceutical Co., Ltd.",Taiho Pharmaceutical,Industry
Ferring Pharmaceuticals,Ferring Pharmaceuticals,Industry
"Jiangsu HengRui Medicine Co., Ltd.",Jiangsu HengRui Medicine,Industry
BeiGene,BeiGene,Industry
Takeda,Takeda,Industry
Cairo University,Cairo University,Academic
AstraZeneca,AstraZeneca,Industry
South Egypt Cancer Institute,South Egypt Cancer Institute,Hospital / medical center
"Shanghai Junshi Bioscience Co., Ltd.",Shanghai Junshi Bioscience,Industry
Shanghai Henlius Biotech,Shanghai Henlius Biotech,Industry
"Suzhou Suncadia Biopharmaceuticals Co., Ltd.",Suzhou Suncadia Biopharmaceuticals,Industry
AstraZeneca,AstraZeneca,Industry
Innovent Biologics (Suzhou) Co. Ltd.,Innovent Biologics,Industry
Eastern Hepatobiliary Surgery Hospital,Eastern Hepatobiliary Surgery Hospital,Hospital / medical center
Immunovant Sciences GmbH,Immunovant Sciences,Industry
Lund University Hospital,Lund University Hospital,Hospital / medical center
St. Joseph's Healthcare Hamilton,St. Joseph's Healthcare Hamilton,Hospital / medical center
"Jiangsu HengRui Medicine Co., Ltd.",Jiangsu HengRui Medicine,Industry
Thomas Jefferson University,Thomas Jefferson University,Academic
Children's Oncology Group,Children's Oncology Group,Cooperative group / network
Bucheon St. Mary's Hospital,Bucheon St. Mary's Hospital,Hospital / medical center
Sun Yat-sen University,Sun Yat-sen University,Academic
Alliance for Clinical Trials in Oncology,Alliance for Clinical Trials in Oncology,Cooperative group / network
Helwan University,Helwan University,Academic
"University Hospital, Rouen","University Hospital, Rouen",Hospital / medical center
AstraZeneca,AstraZeneca,Industry
AstraZeneca,AstraZeneca,Industry
"Han Xu, M.D., Ph.D., FAPCR, Sponsor-Investigator, IRB Chair",Han Xu,Individual
AIDS Malignancy Consortium,AIDS Malignancy Consortium,Cooperative group / network
Ontario Clinical Oncology Group (OCOG),Ontario Clinical Oncology Group,Cooperative group / network
The First Hospital of Jilin University,The First Hospital of Jilin University,Hospital / medical center
Medical University Innsbruck,Medical University Innsbruck,Academic
Sun Yat-sen University,Sun Yat-sen University,Academic
Jazz Pharmaceuticals,Jazz Pharmaceuticals,Industry
"National Cancer Center, Korea","National Cancer Center, Korea",Hospital / medical center
Alliance for Clinical Trials in Oncology,Alliance for Clinical Trials in Oncology,Cooperative group / network
Sun Yat-sen University,Sun Yat-sen University,Academic
Novartis Pharmaceuticals,Novartis Pharmaceuticals,Industry
Gynecologic Oncology Group,Gynecologic Oncology Group,Cooperative group / network
Beijing Friendship Hospital,Beijing Friendship Hospital,Hospital / medical center
Fondazione Policlinico Universitario Agostino Gemelli IRCCS,Fondazione Policlinico Universitario Agostino Gemelli IRCCS,Hospital / medical center
Prof. Dr. med. Claus Rödel,Claus Rödel,Individual
Günther Hofbauer,Günther Hofbauer,Individual
"Qilu Pharmaceutical Co., Ltd.",Qilu Pharmaceutical,Industry
SWOG Cancer Research Network,SWOG Cancer Research Network,Cooperative group / network
"Shandong Lanjin Pharmaceuticals Co.,Ltd",Shandong Lanjin Pharmaceuticals,Industry
Jurgen Barth,Jurgen Barth,Individual
"Masonic Cancer Center, University of Minnesota","Masonic Cancer Center, University of Minnesota",Academic
University of Ulm,University of Ulm,Academic
Novartis Pharmaceuticals,Novartis Pharmaceuticals,Industry
Kantonsspital Winterthur KSW,Kantonsspital Winterthur,Hospital / medical center
Bristol-Myers Squibb,Bristol-Myers Squibb,Industry
AGUNCO Obstetrics and Gynecology Centre,AGUNCO Obstetrics and Gynecology Centre,Other / unknown
Yale University,Yale University,Academic
"Janssen Research & Development, LLC",Janssen Research & Development,Industry
Second Affiliated Hospital of Guangzhou Medical University,Second Affiliated Hospital of Guangzhou Medical University,Hospital / medical center
Mingzhi Zhang,Mingzhi Zhang,Individual
Jiangsu Cancer Institute & Hospital,Jiangsu Cancer Institute and Hospital,Hospital / medical center
European Organisation for Research and Treatment of Cancer - EORTC,European Organisation for Research and Treatment of Cancer,Cooperative group / network
Jonathan Friedberg,Jonathan Friedberg,Individual
Ontario Clinical Oncology Group (OCOG),Ontario Clinical Oncology Group,Cooperative group / network
Ain Shams University,Ain Shams University,Academic
Assistance Publique - Hôpitaux de Paris,Assistance Publique - Hôpitaux de Paris,Hospital / medical center
AstraZeneca,AstraZeneca,Industry
Asan Medical Center,Asan Medical Center,Hospital / medical center
Loughborough University,Loughborough University,Academic
University of Medicine and Dentistry of New Jersey,University of Medicine and Dentistry of New Jersey,Academic
Jagiellonian University,Jagiellonian University,Academic
Philogen S.p.A.,Philogen S.p.A.,Industry
Merck Sharp & Dohme LLC,Merck Sharp & Dohme,Industry
M.D. Anderson Cancer Center,MD Anderson Cancer Center,Hospital / medical center
European Organisation for Research and Treatment of Cancer - EORTC,European Organisation for Research and Treatment of Cancer,Cooperative group / network
Chang Gung Memorial Hospital,Chang Gung Memorial Hospital,Hospital / medical center
The First Affiliated Hospital with Nanjing Medical University,The First Affiliated Hospital with Nanjing Medical University,Hospital / medical center
Celgene,Celgene,Industry
Fudan University,Fudan University,Academic
Takeda,Takeda,Industry
"University College, London",University College London,Academic
"Chia Tai Tianqing Pharmaceutical Group Co., Ltd.",Chia Tai Tianqing Pharmaceutical Group,Industry
National Cancer Institute (NCI),National Cancer Institute,Government / public agency
Merck Sharp & Dohme LLC,Merck Sharp & Dohme,Industry
Spanish Breast Cancer Research Group,Spanish Breast Cancer Research Group,Cooperative group / network
Symphogen A/S,Symphogen A/S,Industry
EMD Serono,EMD Serono,Industry
"Shanghai Yizhong Pharmaceutical Co., Ltd.",Shanghai Yizhong Pharmaceutical,Industry
Bristol-Myers Squibb,Bristol-Myers Squibb,Industry
Chinese Academy of Medical Sciences,Chinese Academy of Medical Sciences,Research institute / foundation
Xenova Biomedix,Xenova Biomedix,Industry
Novacea,Novacea,Industry
UConn Health,UConn Health,Hospital / medical center
UMC Utrecht,UMC Utrecht,Hospital / medical center
"Centocor, Inc.",Centocor,Industry
"Nanfang Hospital, Southern Medical University","Nanfang Hospital, Southern Medical University",Hospital / medical center
GBG Forschungs GmbH,GBG Forschungs GmbH,Cooperative group / network
Centre Hospitalier Lyon Sud,Centre Hospitalier Lyon Sud,Hospital / medical center
"Cancer Institute and Hospital, Chinese Academy of Medical Sciences","Cancer Institute and Hospital, Chinese Academy of Medical Sciences",Hospital / medical center
GlaxoSmithKline,GlaxoSmithKline,Industry
Merck Sharp & Dohme LLC,Merck Sharp & Dohme,Industry
Intergroupe Francophone de Cancerologie Thoracique,Intergroupe Francophone de Cancerologie Thoracique,Cooperative group / network
Helsinn Healthcare SA,Helsinn Healthcare SA,Industry
Sunnybrook Health Sciences Centre,Sunnybrook Health Sciences Centre,Hospital / medical center
Guangzhou Medical University,Guangzhou Medical University,Academic
NSABP Foundation Inc,NSABP Foundation,Cooperative group / network
M.D. Anderson Cancer Center,MD Anderson Cancer Center,Hospital / medical center
GlaxoSmithKline,GlaxoSmithKline,Industry
AstraZeneca,AstraZeneca,Industry
Jonsson Comprehensive Cancer Center,Jonsson Comprehensive Cancer Center,Academic
Lee's Pharmaceutical Limited,Lee's Pharmaceutical Limited,Industry
Intergroupe Francophone de Cancerologie Thoracique,Intergroupe Francophone de Cancerologie Thoracique,Cooperative group / network
Assistance Publique - Hôpitaux de Paris,Assistance Publique - Hôpitaux de Paris,Hospital / medical center
Catharina Ziekenhuis Eindhoven,Catharina Ziekenhuis Eindhoven,Hospital / medical center
Sun Yat-sen University,Sun Yat-sen University,Academic
Bispebjerg Hospital,Bispebjerg Hospital,Hospital / medical center
Novartis Pharmaceuticals,Novartis Pharmaceuticals,Industry
Hospital de Clinicas de Porto Alegre,Hospital de Clinicas de Porto Alegre,Hospital / medical center
"University of California, San Diego",University of California San Diego,Academic
Amgen,Amgen,Industry
Peking University People's Hospital,Peking University People's Hospital,Hospital / medical center
Inje University,Inje University,Academic
Bispebjerg Hospital,Bispebjerg Hospital,Hospital / medical center
Meng Qiu,Meng Qiu,Individual
Agenus Inc.,Agenus Inc.,Industry
American University of Beirut Medical Center,American University of Beirut Medical Center,Hospital / medical center
"Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",Johnson & Johnson Pharmaceutical Research & Development,Industry
"National University Hospital, Singapore",National University Hospital Singapore,Hospital / medical center
Qingdao Central Hospital,Qingdao Central Hospital,Hospital / medical center
Abbott,Abbott,Industry
Cancer Care Ontario,Cancer Care Ontario,Government / public agency
Sun Yat-sen University,Sun Yat-sen University,Academic
University Hospital of North Norway,University Hospital of North Norway,Hospital / medical center
Mayo Clinic,Mayo Clinic,Hospital / medical center
"University Health Network, Toronto",University Health Network Toronto,Hospital / medical center
Ontario Clinical Oncology Group (OCOG),Ontario Clinical Oncology Group,Cooperative group / network
"Chia Tai Tianqing Pharmaceutical Group Co., Ltd.",Chia Tai Tianqing Pharmaceutical Group,Industry
AstraZeneca,AstraZeneca,Industry
National Cancer Institute (NCI),National Cancer Institute,Government / public agency
Philip Hepp,Philip Hepp,Individual
University of Birmingham,University of Birmingham,Academic
University of Texas Southwestern Medical Center,University of Texas Southwestern Medical Center,Hospital / medical center
"Minsk Scientific-Practical Center for Surgery, Transplantation and Hematology","Minsk Scientific-Practical Center for Surgery, Transplantation and Hematology",Hospital / medical center
UNICANCER,UNICANCER,Cooperative group / network
GlaxoSmithKline,GlaxoSmithKline,Industry
Merck Sharp & Dohme LLC,Merck Sharp & Dohme,Industry
Gruppo Italiano per lo studio dei Carcinomi dell'Apparato Digerente,Gruppo Italiano per lo studio dei Carcinomi dell'Apparato Digerente,Cooperative group / network
Sun Yat-sen University,Sun Yat-sen University,Academic
Sanofi,Sanofi,Industry
Beijing Friendship Hospital,Beijing Friendship Hospital,Hospital / medical center
NRG Oncology,NRG Oncology,Cooperative group / network
Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD),Eunice Kennedy Shriver National Institute of Child Health and Human Development,Government / public agency
National Cancer Institute (NCI),National Cancer Institute,Government / public agency
BioVex Limited,BioVex Limited,Industry
University of Copenhagen,University of Copenhagen,Academic
Boston Children's Hospital,Boston Children's Hospital,Hospital / medical center
GBG Forschungs GmbH,GBG Forschungs GmbH,Other / unknown
GOG Foundation,GOG Foundation,Cooperative group / network
Ankara University,Ankara University,Academic
"Janssen Research & Development, LLC",Janssen Research & Development,Industry
Amgen,Amgen,Industry
IDEAYA Biosciences,IDEAYA Biosciences,Industry
Fox Chase Cancer Center,Fox Chase Cancer Center,Hospital / medical center
Memorial Sloan Kettering Cancer Center,Memorial Sloan Kettering Cancer Center,Hospital / medical center
University of Texas Southwestern Medical Center,University of Texas Southwestern Medical Center,Hospital / medical center
Catalysis SL,Catalysis SL,Other / unknown
Gilead Sciences,Gilead Sciences,Industry
South Egypt Cancer Institute,South Egypt Cancer Institute,Hospital / medical center
University of Alberta,University of Alberta,Academic
National Cancer Institute (NCI),National Cancer Institute,Government / public agency
AstraZeneca,AstraZeneca,Industry
M.D. Anderson Cancer Center,MD Anderson Cancer Center,Hospital / medical center
Fudan University,Fudan University,Academic
"Xuanzhu Biopharmaceutical Co., Ltd.","Xuanzhu Biopharmaceutical Co., Ltd.",Industry
Amgen,Amgen,Industry
Boehringer Ingelheim,Boehringer Ingelheim,Industry
Mahidol University,Mahidol University,Academic
Hoffmann-La Roche,Hoffmann-La Roche,Industry
Hoffmann-La Roche,Hoffmann-La Roche,Industry
Stanford University,Stanford University,Academic
Assiut University,Assiut University,Academic
Shenzhen People's Hospital,Shenzhen People's Hospital,Hospital / medical center
Pfizer,Pfizer,Industry
GERCOR - Multidisciplinary Oncology Cooperative Group,GERCOR,Cooperative group / network
Biocon Biologics UK Ltd,Biocon Biologics UK Ltd,Industry
"Qilu Pharmaceutical Co., Ltd.","Qilu Pharmaceutical Co., Ltd.",Industry
Henan Cancer Hospital,Henan Cancer Hospital,Hospital / medical center
Norwegian University of Science and Technology,Norwegian University of Science and Technology,Academic
Celgene,Celgene,Industry
Fujian Medical University,Fujian Medical University,Academic
Merck Sharp & Dohme LLC,Merck Sharp & Dohme,Industry
Bristol-Myers Squibb,Bristol-Myers Squibb,Industry
"National Medical Research Council (NMRC), Singapore",National Medical Research Council,Research institute / foundation
"MELA Sciences, Inc.","MELA Sciences, Inc.",Industry
Leiden University Medical Center,Leiden University Medical Center,Hospital / medical center
Yongquan Shi,Yongquan Shi,Individual
"Jiangsu HengRui Medicine Co., Ltd.","Jiangsu HengRui Medicine Co., Ltd.",Industry
"Cancer Institute and Hospital, Chinese Academy of Medical Sciences","Cancer Institute and Hospital, Chinese Academy of Medical Sciences",Hospital / medical center
Universitaire Ziekenhuizen KU Leuven,Universitaire Ziekenhuizen KU Leuven,Hospital / medical center
Chinese Academy of Medical Sciences,Chinese Academy of Medical Sciences,Research institute / foundation
Medical Research Council,Medical Research Council,Research institute / foundation
NRG Oncology,NRG Oncology,Cooperative group / network
Alliance for Clinical Trials in Oncology,Alliance for Clinical Trials in Oncology,Cooperative group / network
University Hospital Muenster,University Hospital Muenster,Hospital / medical center
Catholic University of the Sacred Heart,Catholic University of the Sacred Heart,Academic
National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),National Institute of Diabetes and Digestive and Kidney Diseases,Government / public agency
Radiation Therapy Oncology Group,Radiation Therapy Oncology Group,Cooperative group / network
National Cancer Institute (NCI),National Cancer Institute,Government / public agency
Stanford University,Stanford University,Academic
UNICANCER,UNICANCER,Cooperative group / network
Jens Rikardt Andersen,Jens Rikardt Andersen,Individual
"University Hospital, Clermont-Ferrand",University Hospital Clermont-Ferrand,Hospital / medical center
Merck Sharp & Dohme LLC,Merck Sharp & Dohme,Industry
Ascentage Pharma Group Inc.,Ascentage Pharma Group,Industry
St. Joseph's Healthcare Hamilton,St. Joseph's Healthcare Hamilton,Hospital / medical center
University of South Florida,University of South Florida,Academic
Hoffmann-La Roche,Hoffmann-La Roche,Industry
Janssen Pharmaceutica,Janssen Pharmaceutica,Industry
First Affiliated Hospital Xi'an Jiaotong University,First Affiliated Hospital Xi'an Jiaotong University,Hospital / medical center
Shanghai Zhongshan Hospital,Shanghai Zhongshan Hospital,Hospital / medical center
Georgetown University,Georgetown University,Academic
"Suzhou Suncadia Biopharmaceuticals Co., Ltd.",Suzhou Suncadia Biopharmaceuticals,Industry
pharmaand GmbH,pharmaand GmbH,Industry
SWOG Cancer Research Network,SWOG Cancer Research Network,Cooperative group / network
Institut Claudius Regaud,Institut Claudius Regaud,Research institute / foundation
Sherief Abd-Elsalam,Sherief Abd-Elsalam,Individual
University of Nebraska,University of Nebraska,Academic
Boston Scientific Corporation,Boston Scientific Corporation,Industry
"Rigshospitalet, Denmark",Rigshospitalet,Hospital / medical center
S.L.A. Pharma AG,S.L.A. Pharma AG,Industry
Hamilton Health Sciences Corporation,Hamilton Health Sciences,Hospital / medical center
Gachon University Gil Medical Center,Gachon University Gil Medical Center,Hospital / medical center
"Chia Tai Tianqing Pharmaceutical Group Co., Ltd.",Chia Tai Tianqing Pharmaceutical Group,Industry
National Cancer Institute (NCI),National Cancer Institute,Government / public agency
Anglo Celtic Cooperative Oncology Group,Anglo Celtic Cooperative Oncology Group,Cooperative group / network
King Faisal Specialist Hospital & Research Center,King Faisal Specialist Hospital & Research Center,Hospital / medical center
Yonsei University,Yonsei University,Academic
Denovo Biopharma LLC,Denovo Biopharma,Industry
"Azienda Ospedaliero, Universitaria Pisana",Azienda Ospedaliero Universitaria Pisana,Hospital / medical center
New York Prostate Institute,New York Prostate Institute,Research institute / foundation
Zealand University Hospital,Zealand University Hospital,Hospital / medical center
Mirati Therapeutics Inc.,Mirati Therapeutics,Industry
Sun Yat-sen University,Sun Yat-sen University,Academic
Shanghai Henlius Biotech,Shanghai Henlius Biotech,Industry
"Union Hospital, Tongji Medical College, Huazhong University of Science and Technology",Union Hospital Tongji Medical College Huazhong University of Science and Technology,Hospital / medical center
Oslo University Hospital,Oslo University Hospital,Hospital / medical center
Peking University People's Hospital,Peking University People's Hospital,Hospital / medical center
Shanghai Jiao Tong University School of Medicine,Shanghai Jiao Tong University School of Medicine,Academic
"Galena Biopharma, Inc.",Galena Biopharma,Industry
Daiichi Sankyo,Daiichi Sankyo,Industry
Shanghai Henlius Biotech,Shanghai Henlius Biotech,Industry
University Magna Graecia,University Magna Graecia,Academic
Elesta S.R.L.,Elesta S.R.L.,Industry
"Sumitomo Pharma (Suzhou) Co., Ltd.",Sumitomo Pharma,Industry
"Air Force Military Medical University, China",Air Force Military Medical University,Academic
Amgen,Amgen,Industry
Shanghai JMT-Bio Inc.,Shanghai JMT-Bio,Industry
University of Malaya,University of Malaya,Academic
Ann & Robert H Lurie Children's Hospital of Chicago,Ann & Robert H Lurie Children's Hospital of Chicago,Hospital / medical center
Eastern Cooperative Oncology Group,Eastern Cooperative Oncology Group,Cooperative group / network
Astellas Pharma Inc,Astellas Pharma,Industry
UroGen Pharma Ltd.,UroGen Pharma,Industry
Dana-Farber Cancer Institute,Dana-Farber Cancer Institute,Research institute / foundation
Dutch Colorectal Cancer Group,Dutch Colorectal Cancer Group,Cooperative group / network
CBA Research,CBA Research,Other / unknown
"Institute of Cancer Research, United Kingdom",Institute of Cancer Research,Research institute / foundation
Haukeland University Hospital,Haukeland University Hospital,Hospital / medical center
Assistance Publique - Hôpitaux de Paris,Assistance Publique - Hôpitaux de Paris,Hospital / medical center
Kythera Biopharmaceuticals,Kythera Biopharmaceuticals,Industry
Tanta University,Tanta University,Academic
"Puma Biotechnology, Inc.",Puma Biotechnology,Industry
Mayo Clinic,Mayo Clinic,Hospital / medical center
Sanofi,Sanofi,Industry
SOFIE,SOFIE,Other / unknown
Guangdong Provincial People's Hospital,Guangdong Provincial People's Hospital,Hospital / medical center
European Organisation for Research and Treatment of Cancer - EORTC,European Organisation for Research and Treatment of Cancer,Cooperative group / network
M.D. Anderson Cancer Center,MD Anderson Cancer Center,Hospital / medical center
RenJi Hospital,RenJi Hospital,Hospital / medical center
Sun Yat-Sen Memorial Hospital of Sun Yat-Sen University,Sun Yat-Sen University,Academic
"Jiangsu HengRui Medicine Co., Ltd.",Jiangsu HengRui Medicine,Industry
Armando Orlandi,Armando Orlandi,Individual
Austrian Breast & Colorectal Cancer Study Group,Austrian Breast & Colorectal Cancer Study Group,Cooperative group / network
Seoul National University Hospital,Seoul National University Hospital,Hospital / medical center
Universitaire Ziekenhuizen KU Leuven,Universitaire Ziekenhuizen KU Leuven,Hospital / medical center
National Cancer Institute (NCI),National Cancer Institute,Government / public agency
UroGen Pharma Ltd.,UroGen Pharma,Industry
Hoffmann-La Roche,Hoffmann-La Roche,Industry
National Cancer Institute (NCI),National Cancer Institute,Government / public agency
Bayer,Bayer,Industry
Sanofi,Sanofi,Industry
Canadian Cancer Trials Group,Canadian Cancer Trials Group,Cooperative group / network
Tempest Therapeutics,Tempest Therapeutics,Industry
"Spectrum Pharmaceuticals, Inc",Spectrum Pharmaceuticals,Industry
"Shanghai Yizhong Pharmaceutical Co., Ltd.",Shanghai Yizhong Pharmaceutical,Industry
"University Hospital, Limoges","University Hospital, Limoges",Hospital / medical center
University of Miami,University of Miami,Academic
The First Affiliated Hospital of Soochow University,The First Affiliated Hospital of Soochow University,Hospital / medical center
Children's & Women's Health Centre of British Columbia,Children's & Women's Health Centre of British Columbia,Hospital / medical center
"Janssen Pharmaceutica N.V., Belgium",Janssen Pharmaceutica,Industry
"University Hospital, Tours","University Hospital, Tours",Hospital / medical center
Fondation Ophtalmologique Adolphe de Rothschild,Fondation Ophtalmologique Adolphe de Rothschild,Research institute / foundation
Wei Jiang,Wei Jiang,Individual
Guangdong Provincial People's Hospital,Guangdong Provincial People's Hospital,Hospital / medical center
"Jiangsu Simcere Pharmaceutical Co., Ltd.",Jiangsu Simcere Pharmaceutical,Industry
Bristol-Myers Squibb,Bristol-Myers Squibb,Industry
Assistance Publique - Hôpitaux de Paris,Assistance Publique - Hôpitaux de Paris,Hospital / medical center
Shanghai University of Traditional Chinese Medicine,Shanghai University of Traditional Chinese Medicine,Academic
Sun Yat-sen University,Sun Yat-sen University,Academic
Bristol-Myers Squibb,Bristol-Myers Squibb,Industry
Mundipharma (China) Pharmaceutical Co. Ltd,Mundipharma,Industry
University of Vermont,University of Vermont,Academic
Massachusetts General Hospital,Massachusetts General Hospital,Hospital / medical center
Shanghai Zhongshan Hospital,Shanghai Zhongshan Hospital,Hospital / medical center
Hoffmann-La Roche,Hoffmann-La Roche,Industry
UNICANCER,UNICANCER,Cooperative group / network
Mundipharma SAS,Mundipharma,Industry
Cairo University,Cairo University,Academic
University of Utah,University of Utah,Academic
Guang'anmen Hospital of China Academy of Chinese Medical Sciences,Guang'anmen Hospital of China Academy of Chinese Medical Sciences,Hospital / medical center
Saudi German Hospital - Madinah,Saudi German Hospital,Hospital / medical center
Novartis Pharmaceuticals,Novartis Pharmaceuticals,Industry
Istanbul University,Istanbul University,Academic
Regeneron Pharmaceuticals,Regeneron Pharmaceuticals,Industry
"TuHURA Biosciences, Inc.",TuHURA Biosciences,Industry
"Amsterdam UMC, location VUmc",Amsterdam UMC,Hospital / medical center
Memorial Sloan Kettering Cancer Center,Memorial Sloan Kettering Cancer Center,Hospital / medical center
